,id,pid,ms_subclass,ms_zoning,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,age,remodeled_age,total_fin_area,total_bath,quality_pool,good_features,bad_features
0,109,533352170,60,RL,13517,Pave,none,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4.0,0.0,CBlock,0.0,0.0,0.0,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,5.0,Y,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,4.0,6,Typ,0,0.0,Attchd,RFn,2.0,475.0,0.0,0.0,Y,0,44,0,0,0,0,0.0,none,none,0,3,2010,WD ,130500,34,29,2204.0,2.5,0,1,1
1,544,531379050,60,RL,11492,Pave,none,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4.0,0.0,PConc,4.0,0.0,0.0,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,5.0,Y,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,4.0,8,Typ,1,0.0,Attchd,RFn,2.0,559.0,0.0,0.0,Y,0,74,0,0,0,0,0.0,none,none,0,4,2009,WD ,220000,13,1,3035.0,3.5,0,1,0
2,153,535304180,20,RL,7922,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,0.0,4.0,CBlock,0.0,0.0,0.0,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,0.0,Y,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,4.0,5,Typ,0,0.0,Detchd,Unf,1.0,246.0,0.0,0.0,Y,0,52,0,0,0,0,0.0,none,none,0,1,2010,WD ,109000,57,54,2114.0,2.0,0,1,0
3,318,916386060,60,RL,9802,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,0.0,0.0,PConc,4.0,0.0,0.0,Unf,0.0,Unf,0.0,384.0,384.0,GasA,4.0,Y,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,0.0,7,Typ,0,0.0,BuiltIn,Fin,2.0,400.0,0.0,0.0,Y,100,0,0,0,0,0,0.0,none,none,0,4,2010,WD ,174000,4,1,1828.0,2.5,0,2,0
4,255,906425045,50,RL,14235,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,Gable,CompShg,Wd Sdng,Plywood,None,0.0,0.0,0.0,PConc,2.0,4.0,0.0,Unf,0.0,Unf,0.0,676.0,676.0,GasA,0.0,Y,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,0.0,6,Typ,0,0.0,Detchd,Unf,2.0,484.0,0.0,0.0,N,0,59,0,0,0,0,0.0,none,none,0,3,2010,WD ,138500,110,93,2121.0,2.0,0,0,0
5,138,535126040,20,RL,16492,Pave,none,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,Gable,CompShg,BrkFace,Plywood,None,0.0,4.0,0.0,CBlock,0.0,0.0,0.0,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,5.0,Y,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,4.0,6,Mod,1,4.0,Attchd,Fin,2.0,578.0,0.0,0.0,Y,0,0,0,0,0,0,0.0,none,none,0,6,2010,WD ,190000,44,36,3405.0,2.5,0,2,0
6,2827,908186070,180,RM,3675,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,0.0,0.0,PConc,4.0,0.0,4.0,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,4.0,Y,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,0.0,5,Typ,0,0.0,Basment,Fin,2.0,525.0,0.0,0.0,Y,0,44,0,0,0,0,0.0,none,none,0,6,2006,New,140000,1,1,1619.0,3.0,0,2,0
7,145,535154050,20,RL,12160,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,0.0,0.0,CBlock,0.0,0.0,0.0,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,2.0,Y,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,0.0,6,Typ,0,0.0,Attchd,RFn,2.0,531.0,0.0,0.0,Y,0,0,0,0,0,0,0.0,MnPrv,none,0,5,2010,COD,142000,51,0,2376.0,2.0,0,0,0
8,1942,535353130,20,RL,15783,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,0.0,0.0,CBlock,0.0,0.0,0.0,Rec,292.0,Unf,0.0,632.0,924.0,GasA,0.0,Y,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,0.0,6,Typ,0,0.0,Detchd,Unf,1.0,420.0,0.0,0.0,Y,0,324,0,0,0,0,0.0,MnPrv,Shed,400,6,2007,WD ,112500,55,0,1848.0,1.0,0,0,1
9,1956,535426130,60,RL,11606,Pave,none,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,0.0,0.0,PConc,4.0,0.0,0.0,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,0.0,Y,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,2.0,9,Typ,2,0.0,Attchd,Unf,2.0,504.0,0.0,0.0,Y,335,0,0,0,0,0,0.0,none,none,0,9,2007,WD ,135000,38,0,3120.0,2.5,0,0,0
